the_geom,f_code,iko,ita,name,use,zv3,cartodb_id,created_at,updated_at
0101000020E6100000662E7079AC325BC07492AD2EA78A4140,GB005,KZUN,ZUN,BLACK ROCK AIRPORT,0,1967,100,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000B62C5F97E1B35EC0809D9B36E3064840,GB005,K0S9,0S9,JEFFERSON COUNTY INTERNATIONAL AIRPORT,23,33,101,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000003E22A644126357C015C8EC2C7A5D4340,GB005,KSZL,SZL,WHITEMAN AIR FORCE BASE,8,265,102,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000053EC681CEA5659C066D828EB37354840,GB005,KMIB,MIB,MINOT AIR FORCE BASE,8,508,103,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000002BD670917BC952C0AED4B32094194440,GB005,KNXX,NXX,WILLOW GROVE NAVAL AIR STATION JOINT RESERVE BASE,8,109,104,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000002B8716D9CE8156C0CCB56801DA0A3E40,GB005,KNEW,NEW,LAKEFRONT AIRPORT,0,2,105,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000037AE1CE85B85BC05A643BDF4F154040,GB005,KDMA,DMA,DAVIS MONTHAN AIR FORCE BASE,8,824,106,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000003844DC9C4A835DC09065C1C41FE54040,GB005,KSLI,SLI,LOS ALAMITOS ARMY AIRFIELD,0,10,107,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000D960E124CD0864C002DE02098A894D40,GB005,UNK,A63,TWIN HILLS AIRPORT,0,25,108,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000007D0EFFB370A5DC0C03DCF9F36D04040,GB005,KTRM,TRM,JACQUELINE COCHRAN REGIONAL AIRPORT,0,-35,109,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000005167EE21617563C00F9A5DF756003440,GB005,PHMU,MUE,WAIMEA-KOHALA AIRPORT,0,814,110,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000030B95164ADC052C03D0D18247D0A4440,GB005,KPNE,PNE,NORTHEAST PHILADELPHIA AIRPORT,0,37,111,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000004F3E3DB6657F5AC0573CF548836B4040,GB005,KALM,ALM,ALAMOGORDO-WHITE SANDS REGIONAL AIRPORT,0,1280,112,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000004417D4B7CC2D52C05E48878730144540,GB005,KBAF,BAF,BARNES MUNICIPAL AIRPORT,4,83,113,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000005E09F5225E051C0011764CBF2994540,GB005,KCON,CON,CONCORD MUNICIPAL AIRPORT,4,104,114,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000003E3E213B6F2852C0AE0D15E3FC6B4440,GB005,KFOK,FOK,FRANCIS S GABRESKI AIRPORT,0,20,115,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000001A886533876456C0CD1DFD2FD79C4240,GB005,KCGI,CGI,CAPE GIRARDEAU REGIONAL AIRPORT,0,104,116,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000E4C0ABE54EA563C03221E692AAD94E40,GB005,PASL,SLQ,SLEETMUTE AIRPORT,0,58,117,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000002995F0845E3A62C007CF842689915040,GB005,UNK,Z91,BIRCH CREEK AIRPORT,0,137,118,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000A77004A914E356C0AF0793E2E3D14440,GB005,KIOW,IOW,IOWA CITY MUNICIPAL AIRPORT,4,204,119,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000002C634337FBA95EC02B323A20092D4840,GB005,KNUW,NUW,WHIDBEY ISLAND NAVAL AIR STATION /AULT FIELD/,8,14,120,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000996725ADF8695DC053927538BACE4740,GB005,KSKA,SKA,FAIRCHILD AIR FORCE BASE,8,750,121,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000001FF296AB1FE662C003FF5BC98EFB4E40,GB005,PASW,SKW,SKWENTNA AIRPORT,0,45,122,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000973B33C1F0D063C08B6F287CB66A4D40,GB005,PFCL,CLP,CLARKS POINT AIRPORT,0,24,123,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000016C26A2C61835CC08BE255D636434740,GB005,K32S,32S,STEVENSVILLE AIRPORT,0,1100,124,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000C1E270E6578E54C040EF8D21002C3D40,GB005,KOCF,OCF,OCALA INTERNATIONAL-JIM TAYLOR FIELD,23,27,125,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000280D350A49A155C0344A97FE25014240,GB005,KMQY,MQY,SMYRNA AIRPORT,0,166,126,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000008A5A9A5B216D64C020904B1C796C4B40,GB005,PAKF,KFP,FALSE PASS AIRPORT,0,6,127,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000BB26A435864E63C09A5C8C8175C84C40,GB005,PAKY,KYK,KARLUK AIRPORT,0,42,128,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000043334FAE290E54C0E6AE25E4832E3B40,GB005,KSUA,SUA,WITHAM FIELD AIRPORT,0,5,129,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000009A232BBF0C3457C076AA7CCF489C4040,GB005,KELD,ELD,SOUTH ARKANSAS REGIONAL AT GOODWIN FIELD,0,84,130,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000039F1D58EE20F56C0D7A6B1BD16F44440,GB005,KDPA,DPA,DUPAGE AIRPORT,0,231,131,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000006552431B80475AC04C3448C153F44340,GB005,KBJC,BJC,ROCKY MOUNTAIN METROPOLITAN AIRPORT,0,1729,132,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
